OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,prop_use_code,ShapeSTArea,ShapeSTLength
1,03181.9017,Y,202400337,345000,2024/01/09 08:00:00+00,83,427853.799023623,3284.58812516853
2,03181.9018,Y,202400337,345000,2024/01/09 08:00:00+00,83,426743.065262579,3267.94390569371
3,13093.9003,N,202400311,555000,2024/01/05 08:00:00+00,83,7039332.07139778,10614.8572173526
4,13123.3306,N,202400371,380000,2024/01/09 08:00:00+00,11,12453.5968526228,449.299965134302
5,14011.1407,N,202400244,1450000,2024/01/03 08:00:00+00,51,217363.123783761,1895.46142782555
6,14231.0703,Y,202400251,305488,2024/01/04 08:00:00+00,91,58008.5876559451,1126.98857217308
7,14231.0704,Y,202400250,264512,2024/01/04 08:00:00+00,91,58008.5876559451,1126.98857217308
8,14232.0752,Y,202400251,305488,2024/01/04 08:00:00+00,91,4112.38665438211,531.489447579128
9,14232.0776,Y,202400251,305488,2024/01/04 08:00:00+00,91,20900.4034326824,669.523459484097
10,14232.0784,Y,202400251,305488,2024/01/04 08:00:00+00,91,62043.6325374555,1085.77919016525
11,14235.0781,Y,202400250,264512,2024/01/04 08:00:00+00,91,70268.1537913748,1170.43968402325
12,15113.9019,N,202400232,400000,2024/01/04 08:00:00+00,11,432977.600833523,2632.04261896661
13,15232.3113,Y,202400346,348839,2024/01/09 08:00:00+00,91,9482.15317939008,434.460208739253
14,15232.3114,Y,202400347,358639,2024/01/09 08:00:00+00,91,9496.48801173772,434.935628402472
15,24053.2712,N,202400336,434995,2024/01/04 08:00:00+00,11,7870.96079166498,382.370089962089
16,25011.0210,N,202400259,215000,2024/01/05 08:00:00+00,11,7131.77820366853,384.762198872406
17,25021.3717,N,202400224,229350,2024/01/04 08:00:00+00,11,6000.85838791026,340.027681715512
18,25131.2914,N,202400376,675000,2024/01/09 08:00:00+00,51,21499.7496830848,639.997271355991
19,25132.1120,N,202400289,313500,2024/01/08 08:00:00+00,11,5099.65338336728,334.996425551922
20,25134.0210,N,202400202,750000,2024/01/02 08:00:00+00,59,6359.9911128083,331.999803674245
21,25153.1302,Y,202400185,7100,2024/01/03 08:00:00+00,91,7700.51394148992,377.23409274546
22,25153.1304,Y,202400186,9600,2024/01/03 08:00:00+00,91,21114.3862283601,585.73210392539
23,25153.1306,Y,202400187,9600,2024/01/03 08:00:00+00,91,25936.052914129,915.76711206618
24,25244.0414,N,202400261,600000,2024/01/04 08:00:00+00,12,8525.58730251004,379.459796078343
25,25251.1612,N,202400301,411500,2024/01/08 08:00:00+00,11,5500.00288323091,309.999958313561
26,25261.2320,Y,202400188,18301,2024/01/03 08:00:00+00,91,6896.48358815975,345.696125062883
