OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,GlobalID,prop_use_code,ShapeSTArea,ShapeSTLength
4,13144.2704,N,202000119,220000,2020/01/02 08:00:00+00,{0283B50B-3C15-4D2C-99EB-C5833626BA82},11,6993.45988088733,339.8035624934
5,55074.3507,N,202000036,337000,2020/01/02 08:00:00+00,{08E4F5CF-5A9A-4B50-944B-4BEEBF1DDEC1},11,7827.51640980739,363.636847883124
6,35263.0603,N,202000139,274900,2020/01/03 08:00:00+00,{0C4DD1BE-6930-4B81-B128-FF1A288BEEF9},11,10565.1970891643,416.874954412143
7,45331.1903,N,202000111,325000,2020/01/02 08:00:00+00,{0D51896A-93F5-4396-9BB2-69F121843592},11,12145.7179987324,449.908327268211
8,34071.0623,N,202000023,303000,2020/01/02 08:00:00+00,{0DFAA67A-D8FB-486F-B59D-B10DF37394CA},11,7573.11050027648,348.015613205448
9,37351.0402,N,202000108,460000,2020/01/03 08:00:00+00,{0E14380F-F715-405F-9EC6-0393B8165C42},11,44302.0626141559,890.160207147857
10,35213.1108,N,202000166,225900,2020/01/03 08:00:00+00,{11182711-DCA8-42CF-9BAC-89E572470C7A},11,6912.89741407335,376.368049518434
11,27232.9030,N,202000149,549900,2020/01/03 08:00:00+00,{128DD0E5-1D8A-4F2F-A772-A1BA2820143C},11,434914.80335558,3279.30116768653
12,56364.0235,N,202000094,209000,2020/01/02 08:00:00+00,{19243B48-58C9-4218-9486-F4F0A7EA445F},11,15963.3510048956,575.747074335596
13,45084.0325,N,202000179,122000,2020/01/03 08:00:00+00,{193DABC6-55F2-4170-B9CB-6C47F74CE9EB},11,11178.2461443172,425.730940104562
14,45331.4415,N,202000137,339000,2020/01/06 08:00:00+00,{1D885C8B-65EF-434F-8A0E-5F594D4D90B2},11,12639.2750974843,460.282050504922
15,55084.6012,Y,202000022,272200,2020/01/02 08:00:00+00,{1FE150DC-EE01-4AAD-92E8-9686E12C19FA},11,5297.15152171743,341.499983389137
16,14073.0309,N,202000171,245000,2020/01/03 08:00:00+00,{262BDFA4-D560-428B-B3B0-5509FA75FB7A},11,6122.48047238262,344.903181644308
17,55102.1607,Y,202000063,391851,2020/01/02 08:00:00+00,{295EB47B-07D1-4271-820D-DCCDF2FAEBD5},11,8499.6841602765,382.254694647807
18,45163.0114,N,202000133,290500,2020/01/06 08:00:00+00,{2C8854F5-5764-4F11-9602-5C4174592F63},12,13454.461044156,464.687212377944
19,35303.2605,N,202000046,397000,2020/01/02 08:00:00+00,{3A2BBF7D-D235-4DD3-A057-6B1DEAD319D6},11,6249.95528379533,349.999663177094
20,45084.0394,N,202000122,294900,2020/01/03 08:00:00+00,{3F778500-AF9D-4E73-82ED-25E372C4A0C7},11,12690.1031521596,465.721055450742
21,35344.1001,N,202000143,329990,2020/01/03 08:00:00+00,{4701CF7B-5F4D-412E-98A0-0E0CE9B065D1},11,10137.5103326176,487.835702429963
22,14074.4205,N,202000124,262500,2020/01/02 08:00:00+00,{48C0146B-7DD4-48B4-9E1A-A2D62D0C47A7},11,6242.40391875052,328.129931864553
23,45163.0127,N,202000161,210000,2020/01/02 08:00:00+00,{4E93CFC1-B31F-4AF3-8F1C-11E8DE235050},11,12910.4745300184,494.312879091159
24,25131.2805,Y,202000026,560000,2020/01/02 08:00:00+00,{572C9FB8-4726-49F1-9A18-424D5885E484},58,5999.90156658953,379.998470726221
25,45212.1543,N,202000117,295000,2020/01/03 08:00:00+00,{5924018E-D8D7-4DDD-AB13-A49C177C4806},11,11179.3588457584,431.995169700946
26,34041.1148,N,202000088,80000,2020/01/03 08:00:00+00,{5C12019C-7CA1-4A7A-AE72-81EE1738E573},12,6988.22544431977,380.635035043545
27,35304.0210,N,202000077,299000,2020/01/02 08:00:00+00,{6205EEAF-EAF8-42CC-BEBB-79A8C8972BEC},11,7769.88409731183,410.833268250529
28,28104.9115,Y,202000154,68000,2020/01/02 08:00:00+00,{640FEB3A-C7D4-47D7-B4A7-6C7C16FCDAEF},91,205952.910335652,1906.9136857611
29,34071.0970,N,202000159,265000,2020/01/03 08:00:00+00,{6949CD45-7A13-483C-BC8B-FB0C51F9AB87},11,4330.06113935345,312.614402820427
30,45283.4908,N,202000168,305500,2020/01/02 08:00:00+00,{6C92BFC3-267C-4B05-B1D1-AC5696622BF7},11,10709.7007097189,432.996573846829
31,26212.2801,N,202000092,340500,2020/01/02 08:00:00+00,{6E7DC857-7AFE-4599-9DF0-409B195FF51D},11,14905.9975604505,491.069786336259
32,25133.0102,N,202000156,240000,2020/01/02 08:00:00+00,{6EE52220-CA65-4327-9F0C-0ECFE30D479D},12,7249.72043097458,390.007243060178
33,35244.3615,Y,202000050,315000,2020/01/02 08:00:00+00,{749A1604-6EC5-4D39-B74A-71A98E339E92},11,8325.05955281287,364.181419909784
34,45211.2213,N,202000172,239000,2020/01/02 08:00:00+00,{754FB3DF-B329-4100-9F8F-E8AD3BA3D13F},11,21814.6162751402,601.116005735274
35,26162.3130,N,202000101,460000,2020/01/02 08:00:00+00,{77A73E28-5AAC-4AC1-AFC9-FD6906ED0151},11,64296.2780046764,1232.8202023997
36,37062.9043,N,202000167,350000,2020/01/02 08:00:00+00,{7B7A5955-DC48-4B68-A69D-04525D53ED02},83,436762.017103385,3263.04200185652
37,25121.1401,N,202000177,198000,2020/01/01 08:00:00+00,{80B349BD-E9B6-4D25-9008-B73B8D8E4E7A},11,9719.67626090894,402.004835090261
38,25131.2806,N,202000026,560000,2020/01/02 08:00:00+00,{8DAA25C1-159F-47E6-82C7-4FEC5A4C80CB},58,11999.808351179,459.997570506263
39,57185.9048,N,202000091,329000,2020/01/02 08:00:00+00,{994FB5BB-870D-4473-B45F-FBF36AF3DD49},11,168962.783441012,2303.39422536289
40,54203.9022,Y,202000096,80000,2020/01/03 08:00:00+00,{A74A81A5-BB4C-4364-BC7D-DA48812DF142},91,985767.327526528,4681.55742653888
41,35053.1009,N,202000017,182000,2020/01/02 08:00:00+00,{A74F6B4F-46B2-4BA9-B575-3A19A6265D8C},11,5093.4189029005,303.829214756293
42,35083.0611,N,202000110,175000,2020/01/02 08:00:00+00,{A7DE3F05-A484-4C9C-A5B0-C4E88E548784},12,6086.10668458173,369.719531329744
43,25121.1011,N,202000134,120000,2020/01/02 08:00:00+00,{AC1DA131-ACB3-4163-B1AE-D0690D8E496F},11,6000.29135846446,340.016213020886
44,36333.0615,N,202000102,100000,2020/01/02 08:00:00+00,{B09E509E-6BC9-47A2-AD2B-A42892762BA0},11,6407.40207225008,356.321619180973
45,45261.4602,N,202000042,392000,2020/01/02 08:00:00+00,{B4E53576-E5B4-48AF-A89F-FBC10AE43B0D},11,12066.5627602724,449.140688607853
46,36073.2709,N,202000039,304950,2020/01/02 08:00:00+00,{B6AF56C7-59FD-4CB4-AD3E-D4727291976C},11,12597.7359971113,466.73573730037
47,37293.0116,N,202000169,310000,2020/01/03 08:00:00+00,{B9AB9A45-3421-4369-80D9-7C11EDD67104},11,6000.09686022498,340.003259987323
48,26154.3006,N,202000158,440000,2020/01/02 08:00:00+00,{C6FB595B-B1E5-4289-A04B-06CFB7253951},11,18167.0738091478,607.869215840842
49,35261.1902,N,202000113,390000,2020/01/03 08:00:00+00,{C81CFAF2-2AAC-47AB-A4DB-AD931289041A},14,6037.69275610596,325.019932538472
50,26253.1504,N,202000144,269900,2020/01/02 08:00:00+00,{C8CC5965-6F23-419F-AE1A-9095E3650C4E},11,8624.16650687901,379.982283994814
51,35063.3305,N,202000114,190000,2020/01/02 08:00:00+00,{D9D7CFE1-703F-41DF-A7EA-940BA68E0CFF},11,9000.06625839051,420.002653040665
52,36192.2013,N,202000071,450000,2020/01/02 08:00:00+00,{DD8CDBE5-D8E2-4798-AACE-EA35018DDDDE},11,12726.1249057948,459.688057995434
53,35211.4602,N,202000019,140500,2020/01/02 08:00:00+00,{DF750C0A-9028-4323-A6C9-D3DC1B0F080A},11,7133.27790833579,385.163753369949
54,35161.1001,N,202000073,189000,2020/01/02 08:00:00+00,{E35A0BF3-DF20-463F-A74B-67F590714D5D},11,7100.34515138025,384.017580591553
55,36334.2819,N,202000150,75000,2020/01/03 08:00:00+00,{E3FB00A4-C340-4FB8-8426-BA0AB6CFC848},11,6401.18496714092,356.920061821604
56,35292.0809,N,202000070,300000,2020/01/02 08:00:00+00,{EB305097-24A5-443F-BE6A-3B0C06B14AEF},11,7973.21831143773,419.078803657888
57,55083.3603,N,202000116,345000,2020/01/02 08:00:00+00,{F27A0E5F-3CDF-4CF7-AECA-8FD7DE4214B5},11,6199.90246050014,323.996752734444
58,47284.9066,Y,202000151,130000,2020/01/02 08:00:00+00,{F496CD65-91F6-49D9-8E48-842C18CC726F},83,438244.428064925,2648.10392727252
59,25351.0601,N,202000123,300000,2020/01/03 08:00:00+00,{F8E6DDAC-4971-4FD9-858D-50D328B5FFDD},18,130563.064225424,1462.70347520645
60,36052.0101,N,202000018,337000,2020/01/02 08:00:00+00,{F91E5FAE-EDED-4E0B-B3CA-3DEB97493F5F},12,12703.1934432359,458.417517891859
61,37291.2305,N,202000214,285000,2020/01/03 08:00:00+00,{00957C78-6BF5-4067-9F1C-51EEB8929B0B},11,6380.01607392323,342.001998684736
62,46353.3804,N,202000188,444900,2020/01/06 08:00:00+00,{12427D5A-8373-43E9-9C70-DF7D34F79ED8},12,12619.3930649742,460.564125810821
63,17342.0108,N,202000225,369500,2020/01/03 08:00:00+00,{1390DA85-86D4-4414-A3FC-00B55B89A98A},11,127124.811041842,1662.78655333119
64,26351.1812,N,202000241,260000,2020/01/06 08:00:00+00,{16670C0F-B3A2-4885-AA73-A58FDD4A0A97},11,8160.6628893881,376.001853676643
65,45142.2730,N,202000222,275000,2020/01/06 08:00:00+00,{20FD8F1D-A8DA-4EE5-8655-214E16E17005},11,11040.7718431778,431.114619188465
66,56031.0503,N,202000197,173500,2020/01/01 08:00:00+00,{26233D4B-98BC-4AA9-8294-814502450FCA},11,11782.0330745378,571.022391525257
67,35083.0507,N,202000251,300000,2020/01/03 08:00:00+00,{27D5C3ED-4E1C-40EA-9F64-D4AFFFA7223C},11,8254.06004369411,410.054084798033
68,35292.1320,N,202000230,268000,2020/01/06 08:00:00+00,{34D96C39-615C-4EE0-92FD-1FE09A7743F6},11,7500.28681831997,400.008157741356
69,35294.2108,N,202000229,699000,2020/01/03 08:00:00+00,{3B5C2063-0BA4-4C2F-82BF-6123D6DED928},11,13029.5378314399,464.214720698544
70,36302.1204,N,202000200,275000,2020/01/06 08:00:00+00,{42C40308-1C35-476B-8578-B752BF754E59},11,10923.163431869,425.624134866157
71,26123.1201,N,202000226,312500,2020/01/03 08:00:00+00,{4AC05DF8-9376-4F00-9456-398567ED6968},11,18995.7432731441,579.994663913959
72,44342.0138,N,202000257,487100,2020/01/03 08:00:00+00,{4DC7795F-262B-47D4-91C7-D501686FE703},11,106194.091363436,1617.11466931412
73,44032.0209,N,202000209,333000,2020/01/02 08:00:00+00,{4E434116-9F81-4048-8DAD-2A13B700025C},11,35979.6383522946,821.349258622777
74,15231.4006,Y,202000236,252444,2020/01/07 08:00:00+00,{6054D5D7-8CBD-4AAD-B340-08AFB0136F0B},11,8368.27269359301,360.426045590006
75,24181.1306,N,202000205,329900,2020/01/06 08:00:00+00,{79F82632-6BC7-4AEA-B6C9-46809B45319D},11,10827.6723453637,437.610265629149
76,36304.0914,N,202000219,220000,2020/01/02 08:00:00+00,{8025693F-5B09-45AF-A681-40A1F551E924},11,9599.9938118264,405.999851913591
77,13124.6707,Y,202000208,264000,2020/01/06 08:00:00+00,{86FEDF5F-25CE-4CFF-B178-FCE76ED468AD},91,3071.06585453135,291.089323974079
78,35221.1918,Y,202000246,260000,2020/01/06 08:00:00+00,{8C4068B7-3631-4BB7-8484-8A2544743132},11,5801.60689086023,347.850784921283
79,45143.3610,N,202000245,307000,2020/01/03 08:00:00+00,{8C626F6D-13B0-48F8-B001-A640DB625F8D},11,6602.11927483573,363.532571938896
80,45162.1113,N,202000227,275000,2020/01/02 08:00:00+00,{9091A808-D9DB-4E13-8EED-EE64F5BB1F91},11,10208.6833709396,411.99825996097
81,26223.0803,N,202000184,289000,2020/01/02 08:00:00+00,{90B16166-871C-416E-BF69-D0B6C22E70A5},11,9962.23432383351,408.687376746723
82,26342.3606,Y,202000218,38450,2020/01/01 08:00:00+00,{9205A7DA-7DAB-44DE-BA53-31597C09C257},91,11905.6496099865,457.641651116362
83,25244.2204,N,202000244,210000,2020/01/06 08:00:00+00,{94360B66-F230-4857-B2A6-8A4499939EDC},11,4799.4493130787,320.000057601895
84,38273.9092,Y,202000228,68000,2020/01/04 08:00:00+00,{A173CDC5-5AA2-4343-BA46-CE2B9D7040BA},91,30689.6170674921,729.00124242987
85,35081.5311,N,202000231,172000,2020/01/03 08:00:00+00,{AD613358-FDDA-47DD-8D97-66E6131F4829},11,4515.59305288263,293.081921048772
86,26212.9099,N,202000202,314900,2020/01/02 08:00:00+00,{B504B0E0-5DA0-47B7-9B7E-62545BF04D52},11,15439.6422017945,531.721002188549
87,26222.3009,N,202000211,295000,2020/01/02 08:00:00+00,{B564A995-06C4-4EE0-A3EF-EC77BF432809},11,12416.7237185741,505.778033918238
88,13124.6004,N,202000208,264000,2020/01/06 08:00:00+00,{C1B634D8-6C5F-44B5-9321-FC22A19DC688},11,11051.3219938986,419.840744686388
89,37324.1113,N,202000199,279900,2020/01/03 08:00:00+00,{CE7170AC-47C1-4DA2-A727-BDD18F315377},11,11049.9915651463,429.999890230539
90,28112.0319,Y,202000254,25000,2020/01/07 08:00:00+00,{D24B24CE-28DD-4CE5-9857-9F890DFECF6F},91,6281.82981330483,329.669917302579
91,45153.5505,N,202000221,215900,2020/01/06 08:00:00+00,{D9461170-F173-47AD-A997-065D4FF26145},11,4011.15436138356,267.175878510807
92,55074.4602,Y,202000258,280460,2020/01/06 08:00:00+00,{DB32FE77-87D2-48A1-8750-17C669233A0F},11,5343.82729260355,313.753976423802
93,35071.3601,N,202000186,400000,2020/01/06 08:00:00+00,{DCFC7566-30A9-4129-9DBC-A1860CCA2BF1},58,14479.518349171,489.591829713382
94,38273.9091,Y,202000228,68000,2020/01/04 08:00:00+00,{DE35E514-D66E-4301-AEE6-AE8AEE78F6FF},91,30690.4650724106,729.013411562546
95,35084.4015,N,202000191,410000,2020/01/03 08:00:00+00,{E23C65D4-B9AE-4724-9F58-4C898405B6C8},11,7091.50527767982,383.660053602772
96,45302.9121,Y,202000234,123000,2020/01/06 08:00:00+00,{E7847C1F-FB34-43CE-B3E9-1D61842E33E1},91,450613.373518386,2833.49864055773
97,55083.4408,N,202000345,245000,2020/01/07 08:00:00+00,{15D0A624-AD78-4942-9908-9EE1349E43B7},11,7152.33682624044,350.071663555052
98,45283.4717,N,202000346,155000,2020/01/09 08:00:00+00,{16595D73-AEB7-423D-82B5-FE289ED15A90},11,12999.6041213995,459.9950814998
99,56314.1507,N,202000268,364000,2020/01/02 08:00:00+00,{18012294-75F8-4A14-A632-18C2CC403020},11,11275.517353125,445.041853168343
100,25124.0803,N,202000336,162000,2020/01/05 08:00:00+00,{1C92CA72-A64A-44B1-B657-7A34F871C4E4},11,2775.96134734571,218.798734079759
101,35333.2707,N,202000272,329000,2020/01/03 08:00:00+00,{1DEC31EE-CF92-426B-AECC-D0F6484D7727},11,8653.45682649965,403.385491498395
102,55174.9030,Y,202000302,651658,2020/01/06 08:00:00+00,{1E0B8A8A-5777-4061-B11D-B5EA5735D742},91,153093.141775406,1584.85070872092
103,26152.0309,N,202000301,224400,2020/01/07 08:00:00+00,{26BC2050-283E-4A95-8B6E-026E00159919},11,11017.1483126003,468.800295809788
104,35083.3814,N,202000342,212500,2020/01/06 08:00:00+00,{2B83BD29-9E7C-4266-B31A-535F112C6798},12,5093.32596406381,303.434569996773
105,25023.1203,N,202000330,275000,2020/01/09 08:00:00+00,{2E245E86-21A6-48DB-A2CA-76CBD21CAC8B},11,5499.93548678237,319.999192515629
106,45251.3303,N,202000324,550000,2020/01/03 08:00:00+00,{39F39C4B-01B7-4D8A-BD42-15215542C95E},11,21325.3683310582,624.131753084262
107,35183.0406,N,202000328,2000000,2020/01/09 08:00:00+00,{44B40126-098E-4478-9CA1-59C14C89A543},61,8516.53360603761,370.590602730984
108,35124.0515,N,202000339,130000,2020/01/07 08:00:00+00,{44BCF2FF-641C-40C2-B110-3E645DBE65DC},11,14799.9719193147,529.999746060861
109,45331.4911,N,202000329,329000,2020/01/07 08:00:00+00,{49B60D1F-9C04-4234-91F3-553845D9892A},11,6435.28778731708,337.007672141465
110,45092.1502,N,202000331,219900,2020/01/06 08:00:00+00,{4A246C9C-43D2-438F-9DED-965F53B91086},11,11599.7159438116,450.003925718694
111,55293.0809,Y,202000285,249000,2020/01/03 08:00:00+00,{4C511B40-422A-4ED4-B846-8FD01F8EF41B},91,211936.612357749,1944.55487857792
112,24091.9042,N,202000315,380000,2020/01/02 08:00:00+00,{4C5B3802-8473-4171-B2D5-CDC02323764B},11,436439.014439178,3305.38959681512
113,35342.3136,N,202000311,330000,2020/01/07 08:00:00+00,{4D7A465C-4AA6-4154-8530-37E9917DE19C},11,20329.3064472363,571.047804092919
114,36291.5714,N,202000338,234000,2020/01/03 08:00:00+00,{4D9014F4-075B-435A-99FD-5971BC1C9B41},11,7478.28045628764,367.256477610226
115,45184.0406,N,202000263,199000,2020/01/07 08:00:00+00,{5A35C215-EAF9-4202-8465-D794D434331E},11,37851.8741856141,856.335240827509
116,35291.1908,N,202000269,659600,2020/01/06 08:00:00+00,{6B97D742-65A7-400D-82FD-1FF268956EE3},11,19010.8364135966,688.261166799824
117,36282.3513,N,202000309,284900,2020/01/06 08:00:00+00,{724E922A-720B-422F-B37F-C9531DD0A2FF},11,7410.81666075891,363.034192479005
118,24082.0404,Y,202000340,298783,2020/01/09 08:00:00+00,{73C52AE9-8BF9-461F-98A1-24A139988A3C},11,6016.20097646808,343.769451402608
119,25133.0215,N,202000348,157000,2020/01/09 08:00:00+00,{754397D9-67EB-47A8-94DE-849BB3ABCDF2},11,5734.69940444978,369.123701232418
120,26252.0209,N,202000281,396750,2020/01/02 08:00:00+00,{7B1F3BF0-E01F-4429-B058-E61499C7BA92},11,11388.9559001277,427.990445237889
121,26133.1806,N,202000334,420000,2020/01/08 08:00:00+00,{7D1B8791-4161-40D7-B2A6-D996BA9B2D60},11,17605.2115176176,557.709398511805
122,55355.9023,Y,202000273,209000,2020/01/06 08:00:00+00,{7F0D7261-D888-4A15-B040-890BBBF02B23},91,439639.243373801,3599.80391553235
123,35303.0811,N,202000325,435000,2020/01/07 08:00:00+00,{7F50DE30-573D-4D77-A166-6C834B125FDE},11,5454.00488465591,339.408918787519
124,24073.2523,Y,202000279,310000,2020/01/02 08:00:00+00,{81859532-E75E-4DCA-9E2A-39D163DE6216},11,4989.52861117282,299.73827902372
125,35043.0818,N,202000282,215000,2020/01/03 08:00:00+00,{83B00F96-C3B0-4D8A-808C-B3DD085434A3},11,6461.02659484284,359.003783442361
126,25263.1205,Y,202000276,20000,2020/01/02 08:00:00+00,{893E4ED0-5F69-4126-BC65-2AF0986E6044},91,17838.7542605399,538.176963972732
127,37341.1402,N,202000310,435000,2020/01/01 08:00:00+00,{8D02EAFE-1CFF-4700-86E8-7E29A1B7B87E},11,21779.6995127881,594.226683730209
128,35204.4515,N,202000280,399900,2020/01/03 08:00:00+00,{94C695BA-182E-4C44-AA57-65BC056CCDA4},11,5089.10043366419,298.025668602985
129,65182.9056,Y,202000278,225000,2020/01/02 08:00:00+00,{997951ED-5DE6-4C9B-A242-35107F9CDEF1},83,434700.807529488,2644.38113211917
130,55074.4608,N,202000314,339729,2020/01/06 08:00:00+00,{9A6E4097-ECE3-4C15-89A5-34DA18A61649},11,5295.09647468865,311.804774382662
131,35273.1141,Y,202000267,316680,2020/01/06 08:00:00+00,{A35DEF02-F211-446B-ACDB-9169564C043E},91,6444.01113806306,357.793315398954
132,35073.5710,N,202000317,165000,2020/01/06 08:00:00+00,{B39C78A9-5DB6-419E-9989-695E84911183},11,4801.01814750005,320.017285621647
133,24082.0703,Y,202000293,286180,2020/01/03 08:00:00+00,{C4FDFA37-EC70-4A4B-9ADE-6EC1CB470A24},11,6555.04311655421,335.746267183142
134,25021.2003,N,202000271,250000,2020/01/03 08:00:00+00,{C686E647-202E-4498-8733-2CE6CF834F71},11,5998.94249728892,340.000272181692
135,35223.2405,N,202000284,229977,2020/01/06 08:00:00+00,{D07A02C6-A7B1-47CF-9E0A-D31AB7844517},11,7479.50257717673,349.574104563939
136,65186.9055,N,202000299,962000,2020/01/02 08:00:00+00,{D42BBF09-0DFD-4E48-847B-0788531925A3},83,595514.470406107,3042.93488206424
137,36183.0207,N,202000332,357000,2020/01/07 08:00:00+00,{D7490F90-C718-4912-BA4E-EA6A1309418A},11,11253.5981121129,430.291148674531
138,36075.0606,N,202000312,339950,2020/01/07 08:00:00+00,{D929D22D-5B71-4A79-99A3-2F85639A831F},11,10221.7698437493,409.640383368454
139,34062.4713,N,202000333,440000,2020/01/03 08:00:00+00,{E06B5871-CD39-42CE-A5D0-9B54EE3CA10A},11,7464.1953894179,356.300018267278
140,26363.4311,N,202000286,211000,2020/01/07 08:00:00+00,{E5A9F2BF-7B24-4F5B-9949-54889ACB938B},11,8125.03086503597,380.000454870424
