OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,prop_use_code,ShapeSTArea,ShapeSTLength
1,13122.2306,N,202300097,521000,2023/01/03 08:00:00+00,11,7876.39145977758,387.55062037276
2,45221.1606,N,202300067,370000,2023/01/01 08:00:00+00,11,12002.5831245218,437.438487178248
3,13084.0602,N,202300131,250000,2023/01/04 08:00:00+00,11,196093.269300423,1869.76399417859
4,25124.1914,N,202300102,279875,2023/01/03 08:00:00+00,11,4824.00518352936,320.400683430117
5,26214.0806,N,202300106,386000,2023/01/03 08:00:00+00,14,7418.88697117034,380.152686406779
6,26253.1803,N,202300120,323000,2023/01/03 08:00:00+00,11,8280.62232593056,374.017153733534
7,35163.0605,N,202300105,90000,2023/01/03 08:00:00+00,11,7121.55832176633,384.316542293235
8,35164.1814,N,202300110,725000,2023/01/03 08:00:00+00,51,6390.26877593341,374.016110312238
9,35164.1815,N,202300110,725000,2023/01/03 08:00:00+00,51,6401.34350416065,374.172104815776
10,55315.9107,N,202300101,1200000,2023/01/03 08:00:00+00,11,435036.52494318,2639.15081405016
11,14083.2001,N,202300167,464900,2023/01/05 08:00:00+00,11,12051.9025535442,468.272757105064
12,25131.5727,N,202300174,284000,2023/01/05 08:00:00+00,11,4794.20275989475,319.874636797938
13,35051.1617,Y,202300166,61200,2023/01/05 08:00:00+00,91,5458.9447500713,318.29770450384
14,35073.2604,N,202300142,348000,2023/01/04 08:00:00+00,11,6016.03392684384,340.475102617261
15,35232.9090,N,202300165,140000,2023/01/03 08:00:00+00,11,40304.3029067833,865.531703076522
16,35342.2629,N,202300153,165000,2023/01/03 08:00:00+00,11,6195.11482840702,347.859084585643
17,35354.0601,N,202300175,769900,2023/01/04 08:00:00+00,11,5687.40332738761,309.859173256059
18,36172.2910,N,202300152,465000,2023/01/03 08:00:00+00,11,13946.1366537681,508.652847318848
19,36333.0402,N,202300144,347950,2023/01/03 08:00:00+00,11,9743.35599335147,388.407998994661
20,45172.0918,N,202300154,299000,2023/01/03 08:00:00+00,11,9753.07174382097,430.001043115687
21,45231.0211,N,202300151,620000,2023/01/04 08:00:00+00,11,10801.6776412074,430.035361270776
22,45231.0212,N,202300151,620000,2023/01/04 08:00:00+00,11,7298.04236691906,392.02344852415
23,45231.0213,N,202300151,620000,2023/01/04 08:00:00+00,11,6187.58026592062,377.010231000009
24,53283.1304,Y,202300157,20000,2023/01/03 08:00:00+00,91,386.821705424486,98.0391255678839
25,53283.1305,N,202300157,20000,2023/01/03 08:00:00+00,91,5467.17495009003,328.069684953369
26,56321.9111,Y,202300143,192500,2023/01/03 08:00:00+00,91,224312.421972373,1976.02895182395
27,13131.2907,N,202300215,325000,2023/01/03 08:00:00+00,91,2979.17395705683,244.279256983106
28,13131.2908,N,202300215,325000,2023/01/03 08:00:00+00,61,4192.83758853201,272.381027382764
29,13131.2909,N,202300215,325000,2023/01/03 08:00:00+00,91,4999.98996434729,299.999535053222
30,13131.2910,N,202300215,325000,2023/01/03 08:00:00+00,91,4999.97357657451,299.999075867685
31,15231.1806,N,202300193,350000,2023/01/05 08:00:00+00,11,7213.33241382541,377.2561422122
32,24011.0109,Y,202300214,150000,2023/01/06 08:00:00+00,91,108307.366872222,1390.47043954253
33,25124.1202,N,202300208,205000,2023/01/04 08:00:00+00,11,5999.97155347039,339.999732719464
34,26353.1605,N,202300212,317000,2023/01/05 08:00:00+00,11,8624.95363599225,444.997329509652
35,35161.1616,Y,202300209,220000,2023/01/05 08:00:00+00,91,7100.2658361552,384.015614114864
36,35203.1803,N,202300216,605000,2023/01/04 08:00:00+00,61,6346.60815384684,355.102126380598
37,35321.0805,N,202300196,370000,2023/01/04 08:00:00+00,11,6806.34235007627,372.089144864869
38,35342.2633,N,202300192,250000,2023/01/05 08:00:00+00,11,6195.23941839568,347.863104673019
39,36172.2402,N,202300206,425000,2023/01/06 08:00:00+00,11,30503.4599083019,687.74133318877
40,36222.9144,N,202300226,1200000,2023/01/05 08:00:00+00,11,365293.898949248,2452.67962201637
41,36273.1504,N,202300202,540000,2023/01/06 08:00:00+00,58,26674.2359570238,660.653151263087
42,36273.1506,Y,202300202,540000,2023/01/06 08:00:00+00,91,12105.4506614513,443.939108385832
43,36332.3516,N,202300220,126000,2023/01/06 08:00:00+00,11,6249.16793052456,349.949527670754
44,36333.3506,N,202300189,224952,2023/01/04 08:00:00+00,11,5949.18185040069,337.980117652142
45,36343.0402,N,202300191,260000,2023/01/02 08:00:00+00,11,4929.23779146303,297.17729143051
46,45193.1410,N,202300199,700000,2023/01/05 08:00:00+00,11,17171.5505417677,550.180079200796
47,45283.4306,N,202300219,402500,2023/01/03 08:00:00+00,11,12999.6897991465,459.996148334185
48,25012.0809,N,202300247,312000,2023/01/05 08:00:00+00,11,5999.50634025325,320.021038129493
49,35051.0207,N,202300228,300000,2023/01/03 08:00:00+00,11,4426.23365137263,277.16356811481
50,35071.3113,N,202300240,350000,2023/01/06 08:00:00+00,12,7102.54703532022,384.036400331823
51,36331.2511,N,202300231,235000,2023/01/04 08:00:00+00,11,6248.33197419474,349.973552747604
52,45222.1953,N,202300244,409000,2023/01/03 08:00:00+00,11,22034.1051014482,613.813633591383
53,45324.0118,N,202300246,553000,2023/01/03 08:00:00+00,11,16466.0227962653,505.070597239277
54,55071.0209,N,202300229,515000,2023/01/04 08:00:00+00,51,25082.6139435555,1003.49398760419
55,24054.2302,N,202300286,379995,2023/01/04 08:00:00+00,11,6618.78052567809,335.906755333642
56,24292.9024,N,202300276,699000,2023/01/04 08:00:00+00,11,311153.59459237,2751.23899641516
57,25121.2302,N,202300268,225000,2023/01/06 08:00:00+00,11,3900.20423887453,256.012905791358
58,25124.3206,N,202300254,235000,2023/01/06 08:00:00+00,11,5999.99160268029,340.000076715421
59,26233.0403,Y,202300280,831896,2023/01/05 08:00:00+00,91,14035.7479058786,480.594941100424
60,34034.0703,N,202300278,1010000,2023/01/09 08:00:00+00,11,282353.914486783,2178.17410500334
61,34071.2808,N,202300282,525000,2023/01/05 08:00:00+00,11,7621.77121748263,374.011670830266
62,35043.1221,N,202300267,360000,2023/01/06 08:00:00+00,11,7414.06509749292,363.512611457312
63,35094.3222,N,202300284,435000,2023/01/09 08:00:00+00,12,6996.29743577818,379.851897942359
64,35204.0665,N,202300281,599000,2023/01/05 08:00:00+00,12,5409.6678996252,300.33598365822
65,35243.0303,N,202300262,250000,2023/01/04 08:00:00+00,11,10492.8802491975,429.904261614843
66,35321.1222,N,202300266,385000,2023/01/09 08:00:00+00,11,18290.7305462956,549.725927626316
67,45073.0221,N,202300283,320000,2023/01/03 08:00:00+00,11,9603.45211943234,400.130614999488
68,45173.1626,N,202300260,825000,2023/01/05 08:00:00+00,53,19881.9636346494,680.203055979864
